name,position,height/m,nationality,injury_history,apparence
Ederson,Goalkeeper,1.88,Brazil,"[-1, 30, 397, 3, 785, 17, 16, 7, 16, 9, 355, 17, 1096, 8, 50, 27, 39, 76, 145, 22, 22, 10, 32, 17, 14, 13]","(495, 44035)"
Stefan Ortega,Goalkeeper,1.85,Germany,"[-1, 54, 447, 4, 101, 5, 2411, 28, 451, 8, 666, 15]","(401, 35735)"
Scott Carson,Goalkeeper,1.88,England,"[-1, 9, 34, 17, 2837, 68]","(522, 46879)"
Rúben Dias,Centre-Back,1.87,Portugal,"[-1, 29, 95, 11, 1435, 40, 255, 25, 654, 33, 19, 30, 6, 15, 6, 5]","(425, 36453)"
Abdukodir Khusanov,Centre-Back,1.86,Uzbekistan,[-1],"(78, 6292)"
Nathan Aké,Centre-Back,1.8,Netherlands,"[-1, 36, 982, 13, 330, 7, 143, 2, 341, 35, 30, 19, 136, 13, 88, 10, 12, 20, 27, 78, 766, 13, 6, 21, 309, 13, 151, 35, 51, 17, 29, 25, 2, 5, 12, 84]","(363, 28028)"
Manuel Akanji,Centre-Back,1.88,Switzerland,"[-1, 40, 65, 302, 648, 23, 10, 9, 10, 7, 14, 13, 1, 51, 482, 15, 99, 15, 43, 7, 72, 24, 267, 36, 13, 10, 17, 28, 11, 4, 647, 25, 285, 9, 15, 17, 54, 61]","(444, 36883)"
John Stones,Centre-Back,1.88,England,"[-1, 67, 284, 25, 767, 43, 94, 29, 56, 5, 230, 13, 4, 25, 140, 29, 4, 36, 47, 27, 16, 7, 146, 9, 87, 11, 112, 3, 610, 25, 99, 34, 162, 53, 397, 18, 5, 22, 8, 30, 30, 94]","(412, 31401)"
Vitor Reis,Centre-Back,1.86,Brazil,"[-1, 24]","(42, 3303)"
Josko Gvardiol,Left-Back,1.85,Croatia,"[-1, 22, 45, 36, 322, 8, 359, 8, 29, 27, 219, 23]","(250, 19815)"
Rico Lewis,Right-Back,1.7,England,[-1],"(138, 9604)"
Rodri,Defensive Midfield,1.91,Spain,"[-1, 19, 460, 2, 1248, 43, 29, 236]","(434, 33034)"
Nico González,Central Midfield,1.88,Spain,"[-1, 5, 46, 13, 125, 9, 28, 31, 217, 60, 710, 3]","(188, 11412)"
Matheus Nunes,Central Midfield,1.83,Portugal,"[-1, 13, 585, 9, 729, 10]","(252, 16202)"
Mateo Kovacic,Central Midfield,1.77,Croatia,"[-1, 8, 1036, 25, 217, 8, 21, 71, 221, 5, 34, 9, 58, 6, 28, 8, 10, 2, 5, 7, 260, 12, 33, 4, 138, 95, 26, 9, 275, 34, 168, 34, 2, 16, 120, 14, 99, 18, 116, 11, 24, 15, 16, 8, 82, 8, 108, 14, 420, 25]","(579, 35652)"
İlkay Gündoğan,Central Midfield,1.8,Germany,"[-1, 15, 207, 15, 3, 5, 297, 5, 133, 25, 60, 4, 532, 5, 10, 22, 32, 4, 67, 4, 4, 4, 70, 5, 7, 4, 98, 429, 10, 4, 88, 8, 80, 5, 98, 1, 126, 4, 46, 8, 14, 8, 17, 29, 25, 134, 94, 242, 416, 35, 19, 6, 27, 7, 114, 2, 133, 6, 375, 26, 72, 7, 45, 4, 212, 24, 1036, 8]","(658, 47812)"
Bernardo Silva,Attacking Midfield,1.73,Portugal,"[-1, 22, 70, 63, 350, 3, 510, 12, 128, 8, 513, 23, 405, 4, 640, 13, 567, 3]","(592, 42279)"
Kevin De Bruyne,Attacking Midfield,1.81,Belgium,"[-1, 50, 240, 46, 55, 4, 1533, 64, 178, 20, 9, 6, 147, 8, 502, 66, 13, 44, 13, 7, 59, 28, 23, 21, 141, 17, 139, 9, 216, 11, 91, 27, 78, 11, 14, 17, 48, 41, 70, 15, 445, 4, 61, 9, 100, 128, 1, 12, 72, 9, 22, 2, 161, 44]","(651, 48653)"
Claudio Echeverri,Attacking Midfield,1.7,Argentina,"[-1, 16]","(51, 2608)"
James McAtee,Attacking Midfield,1.8,England,[-1],"(198, 11943)"
Nico O'Reilly,Attacking Midfield,1.93,England,"[-1, 169]","(104, 7823)"
Jérémy Doku,Left Winger,1.73,Belgium,"[-1, 43, 11, 30, 19, 30, 29, 24, 23, 45, 122, 17, 21, 20, 133, 16, 258, 33, 59, 5, 240, 25, 53, 24]","(214, 11956)"
Jack Grealish,Left Winger,1.8,England,"[-1, 33, 144, 16, 16, 55, 487, 76, 418, 84, 43, 5, 194, 29, 313, 2, 140, 80, 841, 26, 142, 11, 6, 30, 320, 7]","(452, 31190)"
Phil Foden,Right Winger,1.71,England,"[-1, 51, 583, 11, 676, 40, 563, 23, 492, 11, 3, 6, 84, 9, 119, 12]","(357, 23031)"
Savinho,Right Winger,1.76,Brazil,"[-1, 45, 577, 8, 186, 60, 514, 18]","(140, 7887)"
Oscar Bobb,Right Winger,1.75,Norway,"[-1, 200, 0, 30]","(145, 10035)"
Erling Haaland,Centre-Forward,1.95,Norway,"[-1, 22, 308, 8, 3, 15, 28, 12, 17, 5, 164, 12, 143, 5, 28, 29, 122, 5, 3, 5, 136, 19, 10, 36, 60, 43, 59, 1, 174, 10, 137, 14, 216, 2, 11, 8, 15, 54, 78, 9, 296, 10, 34, 32]","(325, 23592)"
Omar Marmoush,Centre-Forward,1.83,Egypt,"[-1, 34, 80, 6, 66, 6, 593, 5, 44, 11, 281, 1]","(236, 14264)"
David Raya,Goalkeeper,1.83,Spain,"[-1, 103, 962, 5]","(422, 38160)"
Neto,Goalkeeper,1.9,Brazil,"[-1, 59, 655, 17, 1047, 15, 135, 38, 128, 23, 402, 34, 195, 4, 350, 56, 1, 26, 287, 29]","(330, 29665)"
William Saliba,Centre-Back,1.92,France,"[-1, 129, 37, 78, 1151, 97, 111, 11, 456, 8]","(256, 22464)"
Gabriel Magalhães,Centre-Back,1.9,Brazil,"[-1, 25, 342, 31, 117, 19, 174, 51, 1159, 6, 30, 13, 110, 104]","(324, 27716)"
Jakub Kiwior,Centre-Back,1.89,Poland,"[-1, 23]","(201, 15432)"
Riccardo Calafiori,Left-Back,1.88,Italy,"[-1, 291, 128, 43, 285, 27, 50, 27, 17, 24, 45, 40, 159, 26, 107, 4, 18, 14, 15, 29, 90, 35, 137, 5, 47, 8, 16, 5, 279, 4, 206, 12, 34, 31, 12, 15, 25, 11, 59, 47]","(158, 9979)"
Myles Lewis-Skelly,Left-Back,1.78,England,"[-1, 17]","(87, 5831)"
Oleksandr Zinchenko,Left-Back,1.75,Ukraine,"[-1, 32, 84, 34, 90, 17, 460, 34, 4, 9, 34, 16, 19, 14, 27, 13, 1, 13, 59, 16, 121, 7, 26, 7, 23, 58, 16, 5, 2, 15, 17, 23, 206, 6, 3, 23, 29, 13, 2, 17, 225, 9, 40, 28, 79, 31, 207, 9, 13, 47, 164, 4, 20, 104, 134, 20, 17, 34, 190, 38, 45, 18]","(284, 18697)"
Kieran Tierney,Left-Back,1.8,Scotland,"[-1, 86, 419, 23, 222, 8, 15, 78, 37, 6, 14, 14, 5, 34, 183, 97, 183, 15, 10, 10, 95, 29, 46, 33, 169, 17, 145, 99, 451, 55, 61, 30, 63, 18, 38, 160]","(342, 24802)"
Ben White,Right-Back,1.86,England,"[-1, 21, 543, 12, 308, 15, 35, 92, 60, 5, 6, 8]","(359, 29897)"
Jurrien Timber,Right-Back,1.79,Netherlands,"[-1, 14, 41, 27, 65, 24, 170, 5, 45, 13, 97, 14, 13, 10, 105, 8, 173, 3, 212, 253, 154, 7, 3, 25, 69, 6, 71, 6, 39, 4]","(284, 23169)"
Takehiro Tomiyasu,Right-Back,1.88,Japan,"[-1, 8, 321, 37, 249, 41, 179, 19, 18, 30, 38, 8, 249, 61, 196, 13, 121, 108, 155, 28, 37, 45, 123, 74, 4, 136, 1, 225]","(246, 18663)"
Thomas Partey,Defensive Midfield,1.85,Ghana,"[-1, 29, 1281, 8, 420, 25, 0, 40, 24, 19, 157, 33, 168, 9, 41, 113, 31, 22, 7, 9, 337, 32, 37, 113, 273, 6]","(458, 31835)"
Jorginho,Defensive Midfield,1.78,Italy,"[-1, 4, 287, 8, 2764, 8, 1071, 24]","(582, 43665)"
Declan Rice,Central Midfield,1.88,England,"[-1, 14, 2004, 16]","(382, 31962)"
Mikel Merino,Central Midfield,1.89,Spain,"[-1, 8, 315, 19, 154, 8, 77, 8, 328, 27, 150, 13, 148, 54, 434, 7, 421, 62, 178, 22, 397, 26, 180, 14, 372, 33, 58, 5, 53, 5, 83, 8]","(387, 28902)"
Martin Ødegaard,Attacking Midfield,1.78,Norway,"[-1, 7, 390, 32, 91, 90, 89, 10, 390, 22, 46, 11, 229, 19, 27, 22, 31, 14, 27, 14, 66, 16, 927, 20, 292, 57, 81, 5]","(414, 31185)"
Gabriel Martinelli,Left Winger,1.78,Brazil,"[-1, 15, 45, 6, 117, 181, 22, 9, 847, 19, 108, 21, 150, 25, 314, 30]","(243, 15402)"
Leandro Trossard,Left Winger,1.72,Belgium,"[-1, 10, 1, 32, 65, 111, 301, 14, 5, 18, 296, 48, 381, 26, 372, 11, 12, 7, 108, 3]","(471, 31600)"
Bukayo Saka,Right Winger,1.78,England,"[-1, 13, 282, 6, 32, 3, 27, 4, 150, 6, 820, 19, 152, 17, 37, 8, 143, 15, 59, 99]","(316, 23501)"
Ethan Nwaneri,Right Winger,1.76,England,"[-1, 18]","(91, 5305)"
Raheem Sterling,Right Winger,1.7,England,"[-1, 101, 576, 12, 396, 29, 168, 12, 388, 10, 90, 27, 175, 13, 506, 23, 264, 7, 49, 5, 723, 29, 7, 4, 25, 25, 375, 6, 9, 11, 229, 19]","(599, 42819)"
Kai Havertz,Centre-Forward,1.93,Germany,"[-1, 11, 410, 12, 370, 3, 16, 18, 191, 7, 144, 20, 71, 20, 195, 4, 100, 14, 453, 4, 26, 8, 524, 16, 70, 8, 36, 95]","(441, 32534)"
Gabriel Jesus,Centre-Forward,1.75,Brazil,"[-1, 68, 47, 21, 185, 55, 274, 6, 23, 7, 51, 13, 169, 27, 100, 7, 269, 42, 44, 5, 3, 13, 697, 100, 144, 25, 59, 27, 47, 14, 15, 23, 178, 16, 131, 314]","(415, 25490)"
Alisson,Goalkeeper,1.93,Brazil,"[-1, 16, 1039, 5, 445, 68, 137, 81, 124, 7, 6, 21, 37, 14, 51, 5, 330, 8, 687, 13, 62, 5, 4, 57, 159, 9, 9, 37, -23, 63, 92, 18]","(463, 41586)"
Caoimhín Kelleher,Goalkeeper,1.88,Ireland,"[-1, 11, 226, 106, 737, 4]","(119, 10800)"
Vitezslav Jaros,Goalkeeper,1.9,Czech Republic,"[-1, 169, 1516, 8]","(135, 12085)"
Harvey Davies,Goalkeeper,1.9,England,[-1],"(107, 9531)"
Ibrahima Konaté,Centre-Back,1.94,France,"[-1, 8, 32, 6, 649, 161, 72, 15, 26, 107, 63, 50, 543, 56, 17, 12, 18, 48, 34, 29, 179, 21, 175, 13, 254, 34]","(242, 19094)"
Virgil van Dijk,Centre-Back,1.95,Netherlands,"[-1, 96, 1046, 5, 619, 232, 98, 26, 252, 4, 18, 4, 77, 8, 11, 8, 63, 4, 256, 4, 305, 255, 169, 12, 140, 4, 18, 11, 200, 42, 328, 4, 314, 3]","(584, 51327)"
Joe Gomez,Centre-Back,1.88,England,"[-1, 224, 54, 129, 488, 29, 18, 55, 35, 7, 116, 125, 328, 2, 254, 232, 126, 33, 443, 22, 331, 6, 320, 41, 2, 96]","(274, 18778)"
Jarell Quansah,Centre-Back,1.9,England,[-1],"(153, 11495)"
Konstantinos Tsimikas,Left-Back,1.79,Greece,"[-1, 3, 0, 16, 6, 40, 37, 42, 796, 5, 234, 3, 31, 46, 291, 24]","(310, 22811)"
Andrew Robertson,Left-Back,1.78,Scotland,"[-1, 43, 487, 3, 248, 5, 80, 2, 71, 4, 32, 13, 140, 12, 358, 5, 659, 33, 367, 103, 35, 4, 26, 8, 38, 6]","(544, 45373)"
Trent Alexander-Arnold,Right-Back,1.75,England,"[-1, 18, 14, 33, 35, 15, 203, 8, 378, 29, 178, 40, 77, 18, 81, 11, 63, 15, 193, 6, 324, 26, 101, 21, 16, 56, 215, 17, 69, 10, 29, 37]","(373, 29606)"
Conor Bradley,Right-Back,1.81,Northern Ireland,"[-1, 128, 137, 22, 206, 38, 47, 44]","(173, 12523)"
Ryan Gravenberch,Defensive Midfield,1.9,Netherlands,"[-1, 14, 490, 9, 81, 58, 217, 11, 379, 19, 366, 17]","(309, 21830)"
Wataru Endo,Defensive Midfield,1.78,Japan,"[-1, 57, 206, 54, 220, 29, 662, 4, 263, 8, 301, 4, 315, 12, 318, 50, 53, 22, 444, 8, 585, 8, 168, 4, 34, 7, 468, 5, 30, 6]","(514, 41573)"
Tyler Morton,Defensive Midfield,1.85,England,"[-1, 111]","(173, 12714)"
Alexis Mac Allister,Central Midfield,1.76,Argentina,"[-1, 36, 52, 4, 1035, 23]","(310, 21235)"
Curtis Jones,Central Midfield,1.85,England,"[-1, 62, 242, 43, 307, 15, 63, 24, 86, 45, 144, 19, 132, 11]","(260, 16485)"
Dominik Szoboszlai,Attacking Midfield,1.87,Hungary,"[-1, 28, 831, 192, 143, 5, 767, 26, 5, 30, 310, 7]","(320, 21480)"
Harvey Elliott,Attacking Midfield,1.7,England,"[-1, 141, 954, 72]","(239, 13613)"
Luis Díaz,Left Winger,1.8,Colombia,"[-1, 19, 220, 8, 77, 15, 620, 189]","(421, 27415)"
Cody Gakpo,Left Winger,1.93,Netherlands,"[-1, 7, 404, 11, 71, 63, 175, 6, 29, 6, 9, 40, 83, 12, 384, 4, 689, 10, 11, 6]","(348, 22492)"
Mohamed Salah,Right Winger,1.75,Egypt,"[-1, 22, 1033, 8, 161, 29, 360, 15, 528, 19, 121, 6, 199, 7, 148, 17, 20, 12, 357, 12, 1151, 26, 6, 15]","(653, 49993)"
Federico Chiesa,Right Winger,1.75,Italy,"[-1, 16, 236, 11, 11, 14, 315, 12, 150, 11, 133, 10, 41, 6, -3, 3, 26, 30, 15, 270, 0, 27, 6, 6, 31, 15, 32, 4, 17, 8, 13, 6, 5, 16, 158, 8, 20, 18, 59, 6, 12, 7, 8, 11, 244, 73]","(338, 23186)"
Darwin Núñez,Centre-Forward,1.87,Uruguay,"[-1, 309, 45, 192, 471, 7, 424, 14, 40, 3, 46, 12, 47, 8, 20, 90, 79, 9, 38, 14, 155, 5, 128, 5, 80, 8, 30, 3, 2, 6, 17, 15, 43, 18, 264, 13, 20, 9, 182, 5, 119, 4]","(282, 16841)"
Diogo Jota,Centre-Forward,1.78,Portugal,"[-1, 15, 91, 19, 784, 15, 31, 33, 17, 26, 210, 29, 73, 22, 319, 85, 73, 12, 266, 15, 154, 32, 46, 117, 289, 29, 56, 52, 13, 23, 159, 54, 34, 17]","(398, 25479)"
Robert Sánchez,Goalkeeper,1.97,Spain,"[-1, 17, 196, 67, 41, 66, -52, 8]","(240, 21515)"
Filip Jørgensen,Goalkeeper,1.92,Denmark,[-1],"(114, 10079)"
Marcus Bettinelli,Goalkeeper,1.93,England,"[-1, 173, 541, 21, 314, 44, 0, 6, 167, 104, 1443, 173]","(257, 22956)"
Lucas Bergström,Goalkeeper,2.05,Finland,[-1],"(87, 7776)"
Levi Colwill,Centre-Back,1.87,England,"[-1, 18, 86, 45, 334, 37, 262, 7, 67, 17, 25, 60, 256, 8]","(173, 13886)"
Wesley Fofana,Centre-Back,1.85,France,"[-1, 57, 34, 20, 348, 13, 36, 7, 32, 27, 156, 224, 205, 72, 4, 56, 154, 350, 154, 86, 36, 92]","(131, 10788)"
Benoît Badiashile,Centre-Back,1.94,France,"[-1, 25, 10, 8, 3, 54, 134, 27, 64, 8, 211, 105, -94, 112, 1, 32, 70, 12, 31, 35, 276, 80]","(210, 17247)"
Tosin Adarabioyo,Centre-Back,1.97,England,"[-1, 25, 132, 29, 1452, 88, 70, 13]","(322, 26876)"
Trevoh Chalobah,Centre-Back,1.92,England,"[-1, 58, 1550, 11, 21, 19, 37, 5, 179, 3, 178, 3, -2, 4, 154, 163, 0, 29, 185, 49, 148, 13, -11, 10]","(299, 23247)"
Aarón Anselmino,Centre-Back,1.86,Argentina,"[-1, 51, 12, 58, 92, 38, 64, 82]","(31, 2341)"
Marc Cucurella,Left-Back,1.73,Spain,"[-1, 49, 38, 26, 514, 13, 2067, 39, 196, 78]","(332, 26978)"
Malo Gusto,Right-Back,1.78,France,"[-1, 4, 366, 9, 78, 18, 7, 16, 10, 68, 211, 31, 37, 9, 63, 3, 5, 2, 14, 14, 119, 22, 61, 8, 98, 9, 36, 9]","(158, 9999)"
Reece James,Right-Back,1.8,England,"[-1, 113, 88, 8, 21, 15, 119, 8, 189, 15, -4, 26, 343, 50, 0, 11, 7, 19, 31, 8, 168, 61, 15, 36, 29, 5, 4, 7, 11, 6, 25, 37, 74, 55, 66, 152, 91, 67, 36, 39, 71, 5]","(310, 22979)"
Josh Acheampong,Right-Back,1.85,England,[-1],"(52, 3808)"
Moisés Caicedo,Defensive Midfield,1.78,Ecuador,"[-1, 22, 478, 6, 526, 7, 94, 3]","(199, 15826)"
Roméo Lavia,Defensive Midfield,1.81,Belgium,"[-1, 56, 319, 7, 3, 57, 1, 36, 10, 186, 54, 24, 85, 30, 9, 51, 10, 33]","(115, 8586)"
Enzo Fernández,Central Midfield,1.78,Argentina,"[-1, 11, 106, 6, 7, 37, 105, 3, 123, 8]","(225, 17506)"
Kiernan Dewsbury-Hall,Central Midfield,1.76,England,"[-1, 5, 967, 23]","(299, 22530)"
Mathis Amougou,Central Midfield,1.77,France,"[-1, 28]","(46, 2699)"
Cole Palmer,Attacking Midfield,1.85,England,"[-1, 20, 348, 94, 742, 4, 131, 6, 188, 20]","(196, 13572)"
Omari Kellyman,Attacking Midfield,1.91,England,"[-1, 63, -60, 191, 8, 76]","(60, 3119)"
Mykhaylo Mudryk,Left Winger,1.75,Ukraine,"[-1, 6, 738, 9, 57, 8, 55, 2, 138, 6, 36, 13, 61, 4, 85, 14]","(150, 7982)"
Jadon Sancho,Left Winger,1.8,England,"[-1, 29, 80, 5, 14, 25, 32, 39, 326, 3, 601, 6, 150, 48, 372, 13, 177, 14, 42, 37, 365, 5, 68, 3, 202, 10]","(326, 22142)"
Tyrique George,Left Winger,1.81,England,[-1],"(93, 5207)"
Pedro Neto,Right Winger,1.74,Portugal,"[-1, 26, 378, 15, 182, 22, 248, 12, 0, 4, 270, 298, 240, 128, 265, 59, 76, 68, 185, 13]","(201, 11569)"
Noni Madueke,Right Winger,1.82,England,"[-1, 8, 613, 8, 7, 32, 207, 25, 7, 43, 7, 61, 63, 25, 84, 82, 335, 9, 71, 14, 389, 4, 32, 48]","(212, 11628)"
Nicolas Jackson,Centre-Forward,1.87,Senegal,"[-1, 70, 0, 3, 14, 8, 797, 57, 460, 56, 187, 58]","(170, 11331)"
Christopher Nkunku,Centre-Forward,1.77,France,"[-1, 14, 783, 33, 112, 8, 234, 8, 284, 4, 26, 84, 1, 11, 15, 40, 113, 110, -19, 44, 22, 24, 29, 68, 362, 27]","(350, 21926)"
David Datro Fofana,Centre-Forward,1.82,Cote d'Ivoire,"[-1, 206]","(113, 5874)"
Marc Guiu,Centre-Forward,1.87,Spain,"[-1, 5, 3, 4, 361, 99]","(46, 1950)"
Guglielmo Vicario,Goalkeeper,1.94,Italy,"[-1, 40, 1645, 58, 200, 5, 372, 78]","(315, 28450)"
Antonín Kinský,Goalkeeper,1.9,Czech Republic,[-1],"(125, 11214)"
Fraser Forster,Goalkeeper,2.01,England,"[-1, 288, 307, 12, 1840, 24, 562, 49, 173, 187, 134, 17]","(489, 43783)"
Brandon Austin,Goalkeeper,1.88,England,[-1],"(101, 9110)"
Alfie Whiteman,Goalkeeper,1.88,England,"[-1, 287, 78, 117]","(81, 7047)"
Cristian Romero,Centre-Back,1.85,Argentina,"[-1, 24, 131, 12, 196, 5, 128, 6, 8, 18, 41, 6, 15, 9, 61, 81, 96, 15, 84, 16, 56, 23, 400, 20, 296, 6, 14, 15, 2, 86]","(251, 21258)"
Micky van de Ven,Centre-Back,1.93,Netherlands,"[-1, 54, 95, 25, 78, 3, 84, 14, 1, 13, 160, 77, 561, 57, 69, 19, 154, 12, 51, 39, 1, 51, 6, 32]","(178, 15220)"
Kevin Danso,Centre-Back,1.9,Austria,"[-1, 33, 49, 43, 869, 15, 307, 20, 226, 8, 236, 17, 181, 16, 116, 7, 36, 4, 159, 11, 109, 46, 148, 34]","(255, 20903)"
Radu Drăgușin,Centre-Back,1.91,Romania,"[-1, 23, 15, 7, 1525, 311]","(182, 14457)"
Ben Davies,Centre-Back,1.81,Wales,"[-1, 15, 108, 8, 424, 67, 259, 8, 221, 43, 301, 15, 458, 33, 164, 12, 94, 82, 406, 71, 126, 8, 168, 4, 168, 19, 166, 34, 185, 5, 1, 14, 64, 12, 97, 90, 131, 44]","(453, 35460)"
Destiny Udogie,Left-Back,1.88,Italy,"[-1, 21, 110, 16, 48, 9, 44, 8, 36, 8, 49, 6, 48, 14, 142, 59, 123, 4, 169, 13, 99, 16, 54, 108, 55, 2, 90, 44]","(185, 14547)"
Djed Spence,Left-Back,1.84,England,"[-1, 35, 95, 62, 338, 19, 73, 13]","(243, 17008)"
Sergio Reguilón,Left-Back,1.78,Spain,"[-1, 19, 4, 14, 144, 8, 77, 7, 396, 19, 123, 25, 361, 8, 67, 62, 52, 68, 116, 22]","(268, 19344)"
Pedro Porro,Right-Back,1.73,Spain,"[-1, 32, 84, 15, 245, 33, 227, 8, 53, 8, 3, 19, 45, 26, 87, 12, 28, 46, 49, 15, 175, 18, 495, 19]","(258, 19427)"
Archie Gray,Defensive Midfield,1.87,England,[-1],"(135, 10114)"
Rodrigo Bentancur,Defensive Midfield,1.87,Uruguay,"[-1, 26, 1079, 19, 213, 6, 447, 15, 344, 8, 80, 22, 76, 5, 93, 45, 27, 255, 34, 33, 235, 12, 131, 14]","(360, 23220)"
Yves Bissouma,Defensive Midfield,1.82,Mali,"[-1, 23, 126, 103, 737, 26, 484, 81, 378, 49, 72, 11, 120, 8]","(289, 18762)"
Pape Matar Sarr,Central Midfield,1.84,Senegal,"[-1, 8, 679, 16, 411, 6]","(172, 9909)"
Lucas Bergvall,Central Midfield,1.87,Sweden,"[-1, 32, 595, 41]","(104, 5352)"
Dejan Kulusevski,Attacking Midfield,1.86,Sweden,"[-1, 12, 4, 10, 474, 8, 175, 9, 288, 38, 431, 7, 412, 39]","(343, 23540)"
James Maddison,Attacking Midfield,1.75,England,"[-1, 20, 80, 12, 213, 12, 6, 9, 84, 2, 60, 15, 99, 73, 55, 2, 30, 6, 15, 7, 2, 12, 37, 51, 381, 6, 200, 9, 26, 25, 298, 75, 368, 17, 82, 52]","(391, 27380)"
Heung-min Son,Left Winger,1.84,"Korea, South","[-1, 78, 290, 5, 21, 15, 1477, 39, 588, 61, 535, 5, 378, 74, 151, 8, 161, 22, 154, 15, 108, 29, 272, 19, 190, 21, 466, 24, 2, 13, 160, 4, 0, 26]","(652, 45917)"
Mikey Moore,Left Winger,1.8,England,"[-1, 63]","(55, 3098)"
Timo Werner,Left Winger,1.8,Germany,"[-1, 1, 7, 4, 319, 4, 39, 11, 154, 5, 35, 1, 112, 11, 42, 12, 28, 4, 32, 4, 46, 4, 63, 1, 0, 12, 84, 11, 35, 5, 28, 1, 150, 8, 21, 8, 130, 11, 14, 12, 213, 8, 25, 8, 455, 8, 248, 26, 28, 22, 283, 12, 10, 61, 136, 6, 23, 17, 86, 7, 53, 18, 141, 63, 127, 6, 65, 41]","(509, 34224)"
Brennan Johnson,Right Winger,1.86,Wales,"[-1, 24, 55, 4, 395, 29]","(247, 18546)"
Wilson Odobert,Right Winger,1.82,France,"[-1, 36, 4, 110]","(119, 7242)"
Dominic Solanke,Centre-Forward,1.86,England,"[-1, 40, 916, 10, 61, 66, -37, 39, 25, 13, 51, 34, 614, 23, 687, 25, 562, 20, 81, 4, 46, 45, 61, 4]","(365, 26754)"
Mathys Tel,Centre-Forward,1.83,France,"[-1, 5, 206, 12, 546, 7, 38, 5, 12, 4]","(125, 4798)"
Richarlison,Centre-Forward,1.84,Brazil,"[-1, 6, 79, 8, 162, 5, 9, 27, 27, 5, 195, 19, 330, 7, 2, 10, 245, 40, 51, 32, 276, 25, 31, 36, 301, 24, 77, 23, 25, 15, 21, 66, 44, 54, 15, 73, 12, 4, 8, 57]","(374, 26104)"
Dane Scarlett,Centre-Forward,1.8,England,"[-1, 89]","(134, 6435)"
André Onana,Goalkeeper,1.9,Cameroon,"[-1, 1, 329, 1, 406, 1, 80, 5, 367, 8, 805, 76]","(401, 36163)"
Altay Bayındır,Goalkeeper,1.98,Türkiye,"[-1, 9, 296, 26, 375, 28, 170, 103, 168, 9, 121, 15, 0, 5, 114, 68, 269, 22, 304, 57]","(187, 16765)"
Tom Heaton,Goalkeeper,1.88,England,"[-1, 203, 70, 64, 456, 15, 38, 312, 3, 33, 826, 61, 85, 39]","(382, 34292)"
Leny Yoro,Centre-Back,1.9,France,"[-1, 4, 276, 126, 75, 4, 20, 24]","(120, 8787)"
Lisandro Martínez,Centre-Back,1.75,Argentina,"[-1, 21, 416, 7, 458, 11, 80, 63, 327, 78, 83, 106, 31, 55, 4, 30, 206, 3, 70, 333]","(270, 21637)"
Matthijs de Ligt,Centre-Back,1.89,Netherlands,"[-1, 12, 581, 11, 403, 8, 24, 12, 224, 8, 7, 102, 49, 19, 35, 11, 84, 15, 119, 8, 354, 4, 18, 11, 133, 3, 79, 8, 98, 23, 16, 43, 135, 10, 228, 4, 99, 18, 17, 19]","(410, 33522)"
Harry Maguire,Centre-Back,1.94,England,"[-1, 36, 43, 10, 831, 36, 104, 21, 78, 14, 102, 8, 146, 30, 414, 43, 102, 57, 89, 5, 36, 24, 93, 23]","(581, 48422)"
Victor Lindelöf,Centre-Back,1.87,Sweden,"[-1, 21, 323, 7, 72, 6, 162, 4, 172, 11, 339, 11, 5, 11, 26, 8, 181, 25, 463, 58, 57, 54, 74, 42, 64, 23, 11, 37]","(493, 40390)"
Ayden Heaven,Centre-Back,1.89,England,"[-1, 62]","(55, 4255)"
Jonny Evans,Centre-Back,1.88,Northern Ireland,"[-1, 33, 619, 5, 91, 43, 599, 14, 53, 21, 366, 73, 160, 78, 140, 13, 3, 13, 567, 15, 8, 41, 171, 32, 330, 13, 115, 6, 20, 5, 8, 11, 72, 12, 227, 7, 285, 17, 19, 3, 9, 13, 82, 2, 97, 7, 81, 41, 93, 110, 193, 28, 34, 144, 190, 28, 122, 27, 255, 98]","(541, 43942)"
Patrick Dorgu,Left Midfield,1.85,Denmark,"[-1, 5]","(140, 10186)"
Luke Shaw,Left-Back,1.78,England,"[-1, 18, 532, 36, 74, 39, 67, 39, 25, 11, 118, 289, 122, 65, 118, 113, -112, 191, 306, 12, 18, 13, 44, 20, 87, 12, 148, 45, 11, 41, 37, 8, 186, 60, 57, 31, 348, 18, 42, 14, 30, 15, 17, 42, 328, 14, 126, 93, 31, 32, 25, 114, 52, 81, -70, 90, 25, 123]","(362, 28110)"
Harry Amass,Left-Back,1.81,England,[-1],"(52, 4111)"
Diogo Dalot,Right-Back,1.83,Portugal,"[-1, 125, 48, 45, 9, 7, 232, 45, 3, 13, 16, 77, 1105, 23, 809, 25]","(290, 22509)"
Noussair Mazraoui,Right-Back,1.83,Morocco,"[-1, 22, 189, 8, 179, 15, 108, 5, 21, 18, 144, 15, 0, 15, 262, 5, 3, 33, 17, 12, 10, 61, 192, 5, 42, 32, 49, 8, 42, 15, 217, 5, 3, 8, 14, 62, 222, 9, 7, 4, 41, 48, 1, 11, 10, 29, 205, 10]","(340, 24011)"
